Arm,True CTR,Times Shown,Clicks,Estimated CTR,Algorithm
Item 0,0.03,250,8,0.032,Thompson
Item 1,0.06,2497,153,0.06127352823388066,Thompson
Item 2,0.04,305,10,0.03278688524590164,Thompson
Item 3,0.055,1854,98,0.05285868392664509,Thompson
Item 4,0.025,94,0,0.0,Thompson
Item 0,0.03,552,16,0.028985507246376812,ε-Greedy (ε=0.1)
Item 1,0.06,168,9,0.05357142857142857,ε-Greedy (ε=0.1)
Item 2,0.04,94,1,0.010638297872340425,ε-Greedy (ε=0.1)
Item 3,0.055,4077,238,0.05837625705175374,ε-Greedy (ε=0.1)
Item 4,0.025,109,4,0.03669724770642202,ε-Greedy (ε=0.1)
